,opt,granite,qwen
0,0.1001495361328125,0.05619049072265625,
1,0.36669921875,0.05885772705078125,
2,0.51727294921875,0.08276824951171875,
3,0.6183349609375,0.557666015625,
4,0.6664794921875,0.5833984375,
5,0.6272705078125,0.5870361328125,
6,0.5993896484375,0.6534423828125,
7,0.6311279296875,0.590185546875,
8,0.659375,0.38466796875,
9,0.6379638671875,0.6789794921875,
10,0.7013916015625,0.624072265625,
11,0.698388671875,0.560009765625,
12,0.6464111328125,0.7216552734375,
13,0.6197998046875,0.6661376953125,
14,0.662353515625,0.7313720703125,
15,0.72294921875,0.598974609375,
16,0.6748291015625,0.7640869140625,
17,0.6890380859375,0.5560791015625,
18,0.7396240234375,0.603515625,
19,0.78291015625,0.5903564453125,
20,0.7818603515625,0.784033203125,
21,0.806640625,0.8092041015625,
22,0.8454833984375,0.8905029296875,
23,0.7630859375,0.8690673828125,
24,,0.8301513671875,
25,,0.8637939453125,
26,,0.904443359375,
27,,0.808349609375,
28,,0.8365478515625,
29,,0.738134765625,
30,,0.789013671875,
31,,0.7696533203125,
32,,0.7425537109375,
33,,0.7764404296875,
34,,0.8486328125,
35,,0.8532470703125,
36,,0.797509765625,
37,,0.732763671875,
38,,0.6718017578125,
39,,0.20191650390625,
